SSN,duration,credit_amount,age,checking_status_'<0',firstname,checking_status_'no checking',credit_history_'critical/other existing credit',lastname,credit_history_'no credits/all paid',purpose_'new car',purpose_radio/tv,savings_status_'<100',property_magnitude_'no known property',property_magnitude_'real estate',other_payment_plans_none,housing_own,housing_rent,class_good
34,15,2788,24,FALSE,basbosa,TRUE,TRUE,basbosa,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
35,12,1264,57,FALSE,panganiban,TRUE,TRUE,panganiban,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
36,24,4020,27,TRUE,elgzar,FALSE,FALSE,elgzar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
37,9,2507,51,FALSE,gammal,TRUE,FALSE,gammal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
38,24,2397,35,FALSE,dalal,TRUE,FALSE,dalal,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
39,27,3915,36,FALSE,elbaghl,FALSE,FALSE,elbaghl,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
40,48,11590,24,FALSE,3arnos,TRUE,TRUE,3arnos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41,42,7882,45,TRUE,malbos,FALSE,FALSE,malbos,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
42,12,1495,38,FALSE,elgahsh,TRUE,TRUE,elgahsh,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
43,24,2255,54,FALSE,elkhartyt,TRUE,FALSE,elkhartyt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
44,9,1549,35,FALSE,elhomar,FALSE,FALSE,elhomar,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
45,30,4811,24,FALSE,elweza,TRUE,FALSE,elweza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
46,14,1410,35,FALSE,elomda,FALSE,FALSE,elomda,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
47,5,3448,74,FALSE,elhassan,TRUE,FALSE,elhassan,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
48,11,4771,51,FALSE,elghany,FALSE,FALSE,elghany,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
49,10,2315,52,TRUE,eltemsah,FALSE,FALSE,eltemsah,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
50,48,4788,26,TRUE,abo sena,FALSE,FALSE,abo sena,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
51,18,1568,24,FALSE,elkilany,TRUE,FALSE,elkilany,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
52,15,1569,34,FALSE,assem,TRUE,FALSE,assem,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
53,40,5998,27,TRUE,iihab ,FALSE,TRUE,iihab ,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
54,18,1169,29,FALSE,ezzat ,TRUE,TRUE,ezzat ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
55,12,1223,46,FALSE,mohamed,FALSE,FALSE,mohamed,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
56,18,2659,28,TRUE,aly,FALSE,FALSE,aly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
57,6,700,36,FALSE,lol,TRUE,TRUE,lol,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
58,10,2848,32,FALSE,lol,TRUE,FALSE,lol,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
59,9,1366,22,TRUE,basbosa,FALSE,FALSE,basbosa,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
60,36,9055,35,FALSE,panganiban,TRUE,FALSE,panganiban,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
61,24,1987,21,TRUE,elgzar,FALSE,FALSE,elgzar,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
62,24,2924,63,TRUE,gammal,FALSE,FALSE,gammal,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
63,18,2622,34,FALSE,dalal,FALSE,FALSE,dalal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
64,36,6304,36,FALSE,elbaghl,TRUE,TRUE,elbaghl,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
65,36,4463,26,FALSE,3arnos,TRUE,FALSE,3arnos,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
66,36,7409,37,FALSE,malbos,TRUE,FALSE,malbos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
67,24,717,54,FALSE,elgahsh,TRUE,FALSE,elgahsh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
68,20,2212,39,TRUE,elkhartyt,FALSE,FALSE,elkhartyt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
69,18,1553,44,TRUE,elhomar,FALSE,FALSE,elhomar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
70,18,12976,38,FALSE,elweza,FALSE,FALSE,elweza,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
71,12,1934,26,FALSE,elomda,TRUE,TRUE,elomda,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
72,33,4281,23,TRUE,elhassan,FALSE,TRUE,elhassan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
73,16,2625,43,TRUE,elghany,FALSE,TRUE,elghany,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
74,6,666,39,TRUE,eltemsah,FALSE,TRUE,eltemsah,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
75,24,3488,23,FALSE,abo sena,TRUE,FALSE,abo sena,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
76,30,5234,28,FALSE,elkilany,FALSE,TRUE,elkilany,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
77,6,1382,28,FALSE,,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
78,36,3349,28,FALSE,assem,TRUE,FALSE,assem,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
79,15,1213,47,FALSE,iihab ,TRUE,FALSE,iihab ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
80,12,836,23,FALSE,ezzat ,FALSE,FALSE,ezzat ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
81,12,1289,21,TRUE,mohamed,FALSE,FALSE,mohamed,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
82,12,1258,22,FALSE,aly,TRUE,TRUE,aly,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
83,30,2522,39,TRUE,lol,FALSE,FALSE,lol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
84,12,1076,26,FALSE,lol,TRUE,FALSE,lol,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
85,36,3835,45,FALSE,basbosa,TRUE,FALSE,basbosa,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
86,18,1505,32,FALSE,panganiban,TRUE,FALSE,panganiban,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
87,30,2406,23,TRUE,elgzar,FALSE,FALSE,elgzar,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
88,15,1512,61,FALSE,gammal,FALSE,FALSE,gammal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
89,12,7865,53,TRUE,dalal,FALSE,FALSE,dalal,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
90,18,3590,40,FALSE,elbaghl,FALSE,TRUE,elbaghl,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
91,24,3349,30,TRUE,3arnos,FALSE,FALSE,3arnos,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
92,18,7511,51,TRUE,malbos,FALSE,FALSE,malbos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93,36,5493,42,TRUE,elgahsh,FALSE,FALSE,elgahsh,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
94,18,1950,34,FALSE,elkhartyt,TRUE,FALSE,elkhartyt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
95,12,2247,36,FALSE,elhomar,FALSE,FALSE,elhomar,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
96,33,2764,26,FALSE,elweza,TRUE,FALSE,elweza,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
97,30,1919,30,FALSE,elomda,FALSE,FALSE,elomda,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
98,9,1313,20,FALSE,elhassan,TRUE,FALSE,elhassan,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
99,36,6948,35,FALSE,elghany,FALSE,FALSE,elghany,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
100,12,1282,20,TRUE,eltemsah,FALSE,FALSE,eltemsah,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
101,24,2032,60,FALSE,abo sena,TRUE,FALSE,abo sena,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
102,12,1884,39,FALSE,elkilany,TRUE,FALSE,elkilany,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
103,30,3622,57,TRUE,assem,FALSE,FALSE,assem,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
104,12,958,47,FALSE,iihab ,FALSE,TRUE,iihab ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
105,36,5711,38,FALSE,ezzat ,TRUE,TRUE,ezzat ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
106,24,3621,31,FALSE,mohamed,TRUE,FALSE,mohamed,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
107,24,4110,23,TRUE,aly,FALSE,FALSE,aly,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
108,12,2930,27,FALSE,lol,FALSE,FALSE,lol,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
109,12,1498,23,TRUE,lol,FALSE,FALSE,lol,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
110,24,2578,34,FALSE,basbosa,TRUE,TRUE,basbosa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
111,24,1358,40,TRUE,panganiban,FALSE,FALSE,panganiban,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
112,36,2273,32,FALSE,elgzar,FALSE,FALSE,elgzar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
113,12,3124,49,FALSE,gammal,FALSE,TRUE,gammal,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
114,12,2969,25,FALSE,dalal,FALSE,FALSE,dalal,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
115,12,1424,55,FALSE,elbaghl,FALSE,FALSE,elbaghl,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
116,24,2670,35,FALSE,3arnos,TRUE,FALSE,3arnos,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
117,9,1478,22,FALSE,malbos,TRUE,FALSE,malbos,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
118,18,3229,38,FALSE,elgahsh,TRUE,TRUE,elgahsh,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
119,48,6416,59,FALSE,elkhartyt,FALSE,FALSE,elkhartyt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120,27,5293,50,TRUE,elhomar,FALSE,FALSE,elhomar,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
121,30,3832,22,FALSE,elweza,FALSE,FALSE,elweza,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
122,36,5371,28,TRUE,elomda,FALSE,TRUE,elomda,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
123,24,1344,37,FALSE,elhassan,FALSE,TRUE,elhassan,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
124,42,4042,36,FALSE,elghany,TRUE,TRUE,elghany,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
125,18,3509,25,TRUE,eltemsah,FALSE,FALSE,eltemsah,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
126,15,2360,36,FALSE,abo sena,FALSE,TRUE,abo sena,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
127,18,3213,25,FALSE,elkilany,FALSE,FALSE,elkilany,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
128,6,1209,47,FALSE,,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
129,6,1198,35,TRUE,assem,FALSE,FALSE,assem,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
130,18,1984,47,FALSE,iihab ,TRUE,FALSE,iihab ,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
131,30,2503,41,FALSE,ezzat ,FALSE,FALSE,ezzat ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
132,24,5511,25,FALSE,mohamed,TRUE,FALSE,mohamed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
133,12,1228,24,TRUE,aly,FALSE,FALSE,aly,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
134,9,3832,64,FALSE,lol,TRUE,FALSE,lol,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
135,6,1169,67,TRUE,lol,FALSE,TRUE,lol,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
136,12,708,38,TRUE,basbosa,FALSE,FALSE,basbosa,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
137,48,6560,24,FALSE,panganiban,FALSE,FALSE,panganiban,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
138,24,1552,32,FALSE,elgzar,TRUE,FALSE,elgzar,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
139,24,1382,26,TRUE,gammal,FALSE,TRUE,gammal,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
140,12,1503,41,FALSE,dalal,TRUE,FALSE,dalal,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
141,24,5152,25,FALSE,elbaghl,FALSE,FALSE,elbaghl,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
142,18,2899,43,FALSE,3arnos,FALSE,FALSE,3arnos,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
143,24,2064,34,FALSE,malbos,FALSE,FALSE,malbos,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
144,12,2121,30,TRUE,elgahsh,FALSE,TRUE,elgahsh,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
145,9,2406,31,FALSE,elkhartyt,TRUE,TRUE,elkhartyt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
146,15,3186,20,FALSE,elhomar,TRUE,FALSE,elhomar,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
147,48,6999,34,TRUE,elweza,FALSE,FALSE,elweza,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
148,15,1386,40,FALSE,elomda,TRUE,FALSE,elomda,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
149,12,618,56,FALSE,elhassan,TRUE,TRUE,elhassan,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
150,24,6842,46,FALSE,elghany,TRUE,TRUE,elghany,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
151,36,4455,30,FALSE,eltemsah,FALSE,FALSE,eltemsah,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
152,30,11998,34,TRUE,abo sena,FALSE,FALSE,abo sena,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
153,36,8947,31,FALSE,elkilany,TRUE,FALSE,elkilany,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
154,36,2394,25,FALSE,assem,TRUE,FALSE,assem,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
155,36,9398,28,FALSE,iihab ,FALSE,FALSE,iihab ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
156,36,6887,29,TRUE,ezzat ,FALSE,FALSE,ezzat ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
157,6,672,54,FALSE,mohamed,TRUE,FALSE,mohamed,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
158,12,2762,25,FALSE,aly,FALSE,FALSE,aly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
159,12,5801,49,FALSE,lol,TRUE,TRUE,lol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
160,21,2288,23,FALSE,lol,TRUE,TRUE,lol,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
161,21,1591,34,FALSE,basbosa,TRUE,FALSE,basbosa,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
162,18,1056,30,FALSE,panganiban,FALSE,TRUE,panganiban,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
163,12,1240,38,FALSE,elgzar,TRUE,TRUE,elgzar,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
164,36,11054,30,FALSE,gammal,TRUE,TRUE,gammal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
